projectId,projectName,towerId,towerName,areaId,areaName,subAreas,tasks,tasksCompleted,steps,stepsCompleted
cmnjvabgp0077keve33sbnh4c,Homeland Global Park,cmnk11w9u01fckevetyf2ehj4,HOMELAND GLOBAL PARK,cmqhywks600p1141wy2om8znv,Anchor,3,74,13,148,41
cmnjvabgp0077keve33sbnh4c,Homeland Global Park,cmnk11w9u01fckevetyf2ehj4,HOMELAND GLOBAL PARK,cmpf5u435007try9p5tloj53y,Excavation,6,31,6,31,6
cmnjvabgp0077keve33sbnh4c,Homeland Global Park,cmnk11w9u01fckevetyf2ehj4,HOMELAND GLOBAL PARK,cmsek4ehg05b5m8mhl8z24h52,Retaining Wall,3,17,0,17,0
cmnjvabgp0077keve33sbnh4c,Homeland Global Park,cmnk11w9u01fckevetyf2ehj4,HOMELAND GLOBAL PARK,cmsd1h6uy00n0m8mhg7szfy4a,Column Schedule B2 Level,6,33,4,99,12
cmnjvabgp0077keve33sbnh4c,Homeland Global Park,cmnjvbdw0007akeveq7em8cin,HOMELAND -ATELIER,cmsmutmao0am2m8mhdfyn0zsy,Slab Casting - B2,8,8,3,24,9
cmnjvabgp0077keve33sbnh4c,Homeland Global Park,cmnjvbdw0007akeveq7em8cin,HOMELAND -ATELIER,cmsmv0ewy0auem8mh9mj0yjl2,Column Casting - B1,8,8,3,24,9
cm020s1ka00051xo1o801a84e,Homeland Regalia,cmq4wu0780rw62opcpfsntidc,Lobbies Work,cmq4wuahk0rw92opcv29b0fws,Tower - 01,21,441,0,1302,0
cmnjvabgp0077keve33sbnh4c,Homeland Global Park,cmnjvbdw0007akeveq7em8cin,HOMELAND -ATELIER,cmsmvll6z0bj5m8mhvpoyh62w,Skin Wall,4,4,0,12,0
cmnjvabgp0077keve33sbnh4c,Homeland Global Park,cmnjvbdw0007akeveq7em8cin,HOMELAND -ATELIER,cmsmv1bc00b2mm8mh4u04zn8r,Slab Casting - B1,8,8,2,24,6
cmnjvabgp0077keve33sbnh4c,Homeland Global Park,cmnjvbdw0007akeveq7em8cin,HOMELAND -ATELIER,cmsmv1yoq0baum8mhh3iaomd2,Slab Casting - GF,8,8,0,24,0
cm020s1ka00051xo1o801a84e,Homeland Regalia,cmn5p53gi000fe61eo2fuun4n,Basements,cmn8v8ir70422e61eibm77c6w,Tower-01,2,38,11,49,16
cm020s1ka00051xo1o801a84e,Homeland Regalia,cmn5p53gi000fe61eo2fuun4n,Basements,cmn8v8oob048me61eux5rgxsm,Tower-02,2,38,7,50,11
cm020s1ka00051xo1o801a84e,Homeland Regalia,cmn5p53gi000fe61eo2fuun4n,Basements,cmn8v8ovo04f4e61evjjhumt4,Tower-03,2,38,6,50,8
cm020s1ka00051xo1o801a84e,Homeland Regalia,cmn5p53gi000fe61eo2fuun4n,Basements,cmn8v92jx04loe61eqjf05jhw,Tower-04,2,38,15,50,23
cm020s1ka00051xo1o801a84e,Homeland Regalia,cmn5p53gi000fe61eo2fuun4n,Basements,cmn8v92qv04s6e61evavd6h6x,Tower-05,2,38,12,50,18
cm020s1ka00051xo1o801a84e,Homeland Regalia,cmn5p53gi000fe61eo2fuun4n,Basements,cmn75z89u01a5e61e33xwn6x4,Tower-06,2,38,12,50,19
cmnjvabgp0077keve33sbnh4c,Homeland Global Park,cmnjvbdw0007akeveq7em8cin,HOMELAND -ATELIER,cmsd2w2hy01gym8mhjcimddh8,D -Wall Work,4,80,80,320,0
cmnjvabgp0077keve33sbnh4c,Homeland Global Park,cmnjvbdw0007akeveq7em8cin,HOMELAND -ATELIER,cmomhfbqo001gc8g0mhenyqi2,Basement Raft work,17,17,10,85,57
cmnjvabgp0077keve33sbnh4c,Homeland Global Park,cmnk11w9u01fckevetyf2ehj4,HOMELAND GLOBAL PARK,cmpf6lx03009kry9px6eaqpgq,PCC,6,32,4,32,4
cmnjvabgp0077keve33sbnh4c,Homeland Global Park,cmnk11w9u01fckevetyf2ehj4,HOMELAND GLOBAL PARK,cmsn4l1a90efjm8mhgr4y6d5s,Slab Schedule B1 Level,6,32,1,96,3
cmnjvabgp0077keve33sbnh4c,Homeland Global Park,cmnjvbdw0007akeveq7em8cin,HOMELAND -ATELIER,cmsiphots08gxm8mhcqegfaz5,Column Casting - B2,8,8,3,24,10
cmnjvabgp0077keve33sbnh4c,Homeland Global Park,cmnjvbdw0007akeveq7em8cin,HOMELAND -ATELIER,cmsiphyaj08p5m8mh93koizyv,Column Casting - GF,8,8,0,24,3
cm020s1ka00051xo1o801a84e,Homeland Regalia,cmq4wu0780rw62opcpfsntidc,Lobbies Work,cmq50j2in18ay2opcuxqcp7yy,Tower - 02,21,441,0,1302,0
cmnjvabgp0077keve33sbnh4c,Homeland Global Park,cmnjvbdw0007akeveq7em8cin,HOMELAND -ATELIER,cmsd2wmbo030um8mhs6opyy5z,Anchor,2,48,24,96,0
cmnjvabgp0077keve33sbnh4c,Homeland Global Park,cmnjvbdw0007akeveq7em8cin,HOMELAND -ATELIER,cmsd2wm9s02ysm8mhyjbm2840,Excavation,17,17,11,17,12
cmnjvabgp0077keve33sbnh4c,Homeland Global Park,cmnjvbdw0007akeveq7em8cin,HOMELAND -ATELIER,cmsd2wmex03cum8mh0x0leh3c,PCC,17,17,11,17,12
cmnjvabgp0077keve33sbnh4c,Homeland Global Park,cmnk11w9u01fckevetyf2ehj4,HOMELAND GLOBAL PARK,cmomp5h4c00vdc8g02017ukpp,Basement Raft Work,6,32,4,160,20
cmnjvabgp0077keve33sbnh4c,Homeland Global Park,cmnk11w9u01fckevetyf2ehj4,HOMELAND GLOBAL PARK,cmsftq2p306uvm8mhllzk2ylt,Slab Schedule B2 Level,6,32,2,96,6
cmnjvabgp0077keve33sbnh4c,Homeland Global Park,cmnk11w9u01fckevetyf2ehj4,HOMELAND GLOBAL PARK,cmsftqwwe0701m8mh276o3yhw,Column Schedule B1 Level,6,32,1,96,5
cmnjvabgp0077keve33sbnh4c,Homeland Global Park,cmnk11w9u01fckevetyf2ehj4,HOMELAND GLOBAL PARK,cmpf78pbr00cbry9pwn50qof5,HGP - Sales Office,4,59,57,61,59
cmsd0yuq300m4m8mhesi4aqc3,CRRID,cmsd12x5e00mcm8mhi4magvsb,Chandigarh,cmsiuic7c08yzm8mhhzlarnv7,Seminar Hall,2,8,0,15,2
cm020s1ka00051xo1o801a84e,Homeland Regalia,cmq23fybh06tv2opcdngdire1,Flat Work,cmq23gbdq06ty2opci96c5jlb,Tower - 01,40,1240,0,2760,0
cmsd0yuq300m4m8mhesi4aqc3,CRRID,cmsd12x5e00mcm8mhi4magvsb,Chandigarh,cmsn6db5c0fkdm8mhjf9f16pr,Material Selection,2,15,0,20,3
cmnjvabgp0077keve33sbnh4c,Homeland Global Park,cmnk11w9u01fckevetyf2ehj4,HOMELAND GLOBAL PARK,cmomshroe01wfc8g04zntiuzr,D -Wall Work,4,128,83,512,332
cmnjvabgp0077keve33sbnh4c,Homeland Global Park,cmnk11w9u01fckevetyf2ehj4,HOMELAND GLOBAL PARK,cmsftw6bb07adm8mh6wayghg2,Column Schedule GF Level,6,32,0,96,0
cmnjvabgp0077keve33sbnh4c,Homeland Global Park,cmnk11w9u01fckevetyf2ehj4,HOMELAND GLOBAL PARK,cmsftuzie0757m8mherz3c6mm,Slab Schedule GF Level,6,32,0,98,0
cmsd0yuq300m4m8mhesi4aqc3,CRRID,cmsd12x5e00mcm8mhi4magvsb,Chandigarh,cmsiuy4qw093im8mhh4zmcq06,Toilet Block,2,4,0,18,0
cm020s1ka00051xo1o801a84e,Homeland Regalia,cmq23fybh06tv2opcdngdire1,Flat Work,cmq29pxj40ibc2opc22le48bm,Tower - 02,40,1240,0,2760,0
