taskId,taskName,subAreaId,taskManager,completed,createdAt,completedAt,startDate,endDate
cmq29pxyt0ibf2opcrrnfd4dj,conduiting,cmq29pxym0ibd2opchgsmaec2,cmq27k2ym07fj2opc9e0m922v,false,2026-06-06T11:26:48.684,,,
cmq29pxyu0ibo2opcijmvvc3x,Fixtures fixing work,cmq29pxym0ibd2opchgsmaec2,cmq27k2ym07fj2opc9e0m922v,false,2026-06-06T11:26:48.684,,,
cmq29pxyu0ic02opcbld33nth,wiring,cmq29pxym0ibd2opchgsmaec2,cmq27k2ym07fj2opc9e0m922v,false,2026-06-06T11:26:48.684,,,
cmq29pxyv0ici2opckp777ray,Dressing Work,cmq29pxym0ibd2opchgsmaec2,cmq27k2ym07fj2opc9e0m922v,false,2026-06-06T11:26:48.684,,,
cmq29pxyv0icr2opcy0g5o8r2,Civil work,cmq29pxym0ibd2opchgsmaec2,cmq27k2ym07fj2opc9e0m922v,false,2026-06-06T11:26:48.684,,,
cmq29pxyv0icx2opco3yapfbw,Base Work,cmq29pxym0ibd2opchgsmaec2,cmq27k2ym07fj2opc9e0m922v,false,2026-06-06T11:26:48.684,,,
cmq29pxyw0id62opcsyzqmyr4,Copper installation,cmq29pxym0ibd2opchgsmaec2,cmq27k2ym07fj2opc9e0m922v,false,2026-06-06T11:26:48.684,,,
cmq29pxyw0idc2opcgaki3ri9,Testing work,cmq29pxym0ibd2opchgsmaec2,cmq27k2ym07fj2opc9e0m922v,false,2026-06-06T11:26:48.684,,,
cmq29pxyw0idi2opcxwjmjhot,Pipe Laying work,cmq29pxym0ibd2opchgsmaec2,cmq27k2ym07fj2opc9e0m922v,false,2026-06-06T11:26:48.684,,,
cmq29pxyw0ido2opczj1usdvn,Units installation work,cmq29pxym0ibd2opchgsmaec2,cmq27k2ym07fj2opc9e0m922v,false,2026-06-06T11:26:48.684,,,
cmq29pxyw0idx2opc2l22s3ip,Final stage of HVAC,cmq29pxym0ibd2opchgsmaec2,cmq27k2ym07fj2opc9e0m922v,false,2026-06-06T11:26:48.684,,,
cmq29pxyw0ie62opceyhzxonc,Welding Work,cmq29pxym0ibd2opchgsmaec2,cmq27k2ym07fj2opc9e0m922v,false,2026-06-06T11:26:48.684,,,
cmq29pxyx0iec2opc0136wotg,Threading Work,cmq29pxym0ibd2opchgsmaec2,cmq27k2ym07fj2opc9e0m922v,false,2026-06-06T11:26:48.684,,,
cmq29pxyx0iei2opci79l8nos,Piping  Testing Work,cmq29pxym0ibd2opchgsmaec2,cmq27k2ym07fj2opc9e0m922v,false,2026-06-06T11:26:48.684,,,
cmq29pxyx0ieo2opcerw03awa,Balcony work,cmq29pxym0ibd2opchgsmaec2,cm39yc7n800g92q8zpnzg0m6z,false,2026-06-06T11:26:48.684,,,
cmq29pxyx0if32opcqeve1m6m,Fire Pipe Shaft Work,cmq29pxym0ibd2opchgsmaec2,cmq27k2ym07fj2opc9e0m922v,false,2026-06-06T11:26:48.684,,,
