stepId,stepName,taskId,completed,attachments,createdAt,completedBy,order,imageCompulsory,completedAt
cmsn68ht70fj9m8mh873vwt0h,PL Work,cmsn639fl0fihm8mh78sj9s9k,false,,2026-08-10T11:51:51.589,,3,true,
cmsn68htc0fjbm8mhwceqrf7r,Water proofing,cmsn639fl0fihm8mh78sj9s9k,false,,2026-08-10T11:51:51.589,,4,true,
cmsn68hte0fjdm8mhl9arbvrv,Tile Work,cmsn639fl0fihm8mh78sj9s9k,false,,2026-08-10T11:51:51.589,,5,true,
cmsn68hth0fjfm8mhkc3ywae4,EL Work,cmsn639fl0fihm8mh78sj9s9k,false,,2026-08-10T11:51:51.589,,6,true,
cmsn68hti0fjhm8mh6z6m14rq,AC Installation,cmsn639fl0fihm8mh78sj9s9k,false,,2026-08-10T11:51:51.589,,7,true,
cmsn68htk0fjjm8mhdyxtzner,Sanitary & Fixture,cmsn639fl0fihm8mh78sj9s9k,false,,2026-08-10T11:51:51.589,,8,true,
cmsn6bpyl0fjsm8mh08wn1i4l,Doors & Accessories,cmsn639fl0fihm8mh78sj9s9k,false,,2026-08-10T11:54:22.126,,9,true,
cmsn63tcn0fikm8mhvkdai94e,Dismantling,cmsn630qg0fiem8mhtp5bwy7t,false,,2026-08-10T11:48:13.271,,1,true,
cmsn641aq0finm8mhrou45non,Brick Work,cmsn630qg0fiem8mhtp5bwy7t,false,,2026-08-10T11:48:23.57,,2,true,
cmsn6k9290fmtm8mh33jpgyyc,Panelling,cmsn6jsxb0fmkm8mh6cgwpdq9,true,cmsyajkdg0jh1m8mhvdxguv4p,2026-08-10T12:01:00.129,cmsd322pn03ppm8mhhvalcw5t,1,true,2026-08-18T06:37:54.537
cmsn6kgmk0fmym8mh8j3fteqq,Furniture,cmsn6jsxb0fmkm8mh6cgwpdq9,true,cmsyajkla0jhdm8mhgzxcgaye,2026-08-10T12:01:09.933,cmsd322pn03ppm8mhhvalcw5t,2,true,2026-08-18T06:37:54.819
