taskPermissionId,taskId,groupId,createdAt
cmsn6u3sl0fppm8mhi4jjd1k2,cmsn5ufcb0fd2m8mh0vlfoh6l,cmsd348vr03psm8mhdjfv9xzx,2026-08-10T12:08:39.861
cmsn6lt7r0fnhm8mhoxmscxyy,cmsn630qg0fiem8mhtp5bwy7t,cmsd348vr03psm8mhdjfv9xzx,2026-08-10T12:02:12.904
cmsn6cfwm0fjvm8mh4uy42q7q,cmsn639fl0fihm8mh78sj9s9k,cmsd348vr03psm8mhdjfv9xzx,2026-08-10T11:54:55.75
cmsn6g66b0fkum8mhnlqlgbty,cmsn6fx0a0fkrm8mhzqsjqh9q,cmsd348vr03psm8mhdjfv9xzx,2026-08-10T11:57:49.764
cmsn6l2so0fljm8mhrymjccm7,cmsn6hdn80fl4m8mhpwxnmpat,cmsd348vr03psm8mhdjfv9xzx,2026-08-10T12:01:38.663
cmsn6j0u90fm0m8mh5korrk8y,cmsn6hdnf0fl8m8mhrlmqjugq,cmsd348vr03psm8mhdjfv9xzx,2026-08-10T12:00:02.817
cmsn6jzw50fmqm8mhgjg0zjjs,cmsn6jsxb0fmkm8mh6cgwpdq9,cmsd348vr03psm8mhdjfv9xzx,2026-08-10T12:00:48.245
cmsn6loly0fndm8mh39ztk3hd,cmsn6livv0fnam8mhzqtdf9c5,cmsd348vr03psm8mhdjfv9xzx,2026-08-10T12:02:06.934
cmsn6nnsx0fo0m8mhjc2j6kos,cmsn6mxaj0fnxm8mh3okmi5yz,cmsd348vr03psm8mhdjfv9xzx,2026-08-10T12:03:39.201
cmsn6qefe0foim8mhoqfgdvdw,cmsn6q6c80fofm8mhlnq05trj,cmsd348vr03psm8mhdjfv9xzx,2026-08-10T12:05:47.019
cmsn6rbuk0fotm8mh3aetszyp,cmsn6r4mh0foqm8mhl6jwat6q,cmsd348vr03psm8mhdjfv9xzx,2026-08-10T12:06:30.332
cmsn6sci20fp4m8mhazzvh0v4,cmsn6s1ax0fp1m8mhznw5qyvb,cmsd348vr03psm8mhdjfv9xzx,2026-08-10T12:07:17.834
cmsn6szkw0fpfm8mhgedzv8qr,cmsn6ssrn0fpcm8mhc7snrkd9,cmsd348vr03psm8mhdjfv9xzx,2026-08-10T12:07:47.744
cmsn6w8v10fq7m8mh07nlju65,cmsn6vzvs0fq3m8mhs2k0sgzu,cmsd348vr03psm8mhdjfv9xzx,2026-08-10T12:10:19.741
cmsn6x6yq0fqmm8mhry4aso97,cmsn6wy250fqjm8mhs3i1pa9q,cmsd348vr03psm8mhdjfv9xzx,2026-08-10T12:11:03.938
cmsn6y5xz0fqxm8mhebulwe5z,cmsn6xuda0fqum8mh9o3k112k,cmsd348vr03psm8mhdjfv9xzx,2026-08-10T12:11:49.271
cmsn6z2l80frbm8mharwxkg2p,cmsn6yunk0fr8m8mhww14f37p,cmsd348vr03psm8mhdjfv9xzx,2026-08-10T12:12:31.58
cmsn6zt1a0frmm8mhynd2sk7x,cmsn6zlz00frjm8mhn14hf8ft,cmsd348vr03psm8mhdjfv9xzx,2026-08-10T12:13:05.854
cmsn70p5t0frxm8mhnpm4vwzb,cmsn70fe20frum8mh5oqix533,cmsd348vr03psm8mhdjfv9xzx,2026-08-10T12:13:47.489
cmsn71bew0fscm8mhzghaqfkn,cmsn7155z0fs8m8mhs2k4zl4m,cmsd348vr03psm8mhdjfv9xzx,2026-08-10T12:14:16.328
cmsn74oyc0ft8m8mhofyzqs4v,cmsn73oo00fsym8mhf7sl2ayo,cmsd348vr03psm8mhdjfv9xzx,2026-08-10T12:16:53.844
cmsn72n1z0fsqm8mhtmqbwaax,cmsn73xiw0fs0m8mhyodqktth,cmsd348vr03psm8mhdjfv9xzx,2026-08-10T12:15:18.071
cmsn79q8w0ftmm8mh1xap5jer,cmsn790h00ftgm8mhb3mg7bh2,cmsd348vr03psm8mhdjfv9xzx,2026-08-10T12:20:48.8
cmsn7b3er0fu0m8mh58l4ilza,cmsn7ajo20fttm8mhe7m83g47,cmsd348vr03psm8mhdjfv9xzx,2026-08-10T12:21:52.515
cmsn7gzzg0fukm8mh90cje3qn,cmsn7fewp0fuam8mh50ap6mdz,cmsd348vr03psm8mhdjfv9xzx,2026-08-10T12:26:28.012
cmsn7k9pp0fv3m8mhkf5ib81b,cmsn7jaiu0futm8mht1in3jvi,cmsd348vr03psm8mhdjfv9xzx,2026-08-10T12:29:00.589
cmsn7o8800fvom8mhvur5zmgr,cmsn7nnd30fvhm8mhnostlcgp,cmsd348vr03psm8mhdjfv9xzx,2026-08-10T12:32:05.28
